year,reclat,reclong,mass,clipped_prediction
1974,-71.83278,36.29167,206.0,37.075504506252685
1974,-71.82556,36.25556,69.7,37.08145941454136
1974,-71.825,36.24028,208.9,37.081458060358116
1974,-71.81778,36.45833,139.3,37.09685173801975
1974,-71.81722,36.12778,91.5,37.08514366886405
1974,-71.81667,36.46389,114.0,37.09818036899857
1974,-71.81583,36.425,29.9,37.097585226094246
1974,-71.81167,36.4125,58.7,37.10132667976779
1974,-71.80389,36.23472,88.0,37.10258939684113
1974,-71.79722,36.15278,27.2,37.10628987231108
1974,-71.79167,35.79444,757.8,37.098591294497126
1974,-71.78194,35.67778,42.1,37.10409566133364
1974,-71.76944,35.76111,2721.1,37.11983310462466
1974,-71.7625,35.9,4.92,37.1320162777368
1974,-71.7625,35.9,5.0,37.1320162777368
1974,-71.75694,35.78056,82.9,37.133202331285204
1974,-71.74583,35.84167,6.3,37.14671842602163
1974,-71.74167,35.91944,134.2,37.153822022500734
1974,-71.73472,35.875,203.4,37.159205913759365
1974,-71.73056,35.98333,46.8,37.16744886073541
1974,-71.72639,35.975,23.2,37.1713624726895
1974,-71.70278,35.90556,4.59,37.19269900544771
1974,-71.61167,35.25833,420.3,37.26099923514742
1974,-71.5,35.66667,0.34,37.389821656396464
1974,-71.5,35.66667,0.4,37.389821656396464
1974,-71.5,35.66667,0.56,37.389821656396464
1974,-71.5,35.66667,0.6,37.389821656396464
1974,-71.5,35.66667,0.71,37.389821656396464
1974,-71.5,35.66667,0.79,37.389821656396464
1974,-71.5,35.66667,0.97,37.389821656396464
1974,-71.5,35.66667,1.01,37.389821656396464
1974,-71.5,35.66667,1.06,37.389821656396464
1974,-71.5,35.66667,1.14,37.389821656396464
1974,-71.5,35.66667,1.4,37.389821656396464
1974,-71.5,35.66667,2.17,37.389821656396464
1974,-71.5,35.66667,2.19,37.389821656396464
1974,-71.5,35.66667,2.22,37.389821656396464
1974,-71.5,35.66667,2.22,37.389821656396464
1974,-71.5,35.66667,2.69,37.389821656396464
1974,-71.5,35.66667,3.24,37.389821656396464
1974,-71.5,35.66667,3.86,37.389821656396464
1974,-71.5,35.66667,4.15,37.389821656396464
1974,-71.5,35.66667,4.24,37.389821656396464
1974,-71.5,35.66667,4.36,37.389821656396464
1974,-71.5,35.66667,4.4,37.389821656396464
1974,-71.5,35.66667,4.45,37.389821656396464
1974,-71.5,35.66667,5.0,37.389821656396464
1974,-71.5,35.66667,5.01,37.389821656396464
1974,-71.5,35.66667,5.03,37.389821656396464
1974,-71.5,35.66667,5.08,37.389821656396464
1974,-71.5,35.66667,5.16,37.389821656396464
1974,-71.5,35.66667,5.19,37.389821656396464
1974,-71.5,35.66667,5.8,37.389821656396464
1974,-71.5,35.66667,6.3,37.389821656396464
1974,-71.5,35.66667,6.9,37.389821656396464
1974,-71.5,35.66667,7.1,37.389821656396464
1974,-71.5,35.66667,7.12,37.389821656396464
1974,-71.5,35.66667,7.57,37.389821656396464
1974,-71.5,35.66667,7.97,37.389821656396464
1974,-71.5,35.66667,8.82,37.389821656396464
1974,-71.5,35.66667,8.96,37.389821656396464
1974,-71.5,35.66667,9.1,37.389821656396464
1974,-71.5,35.66667,9.8,37.389821656396464
1974,-71.5,35.66667,13.04,37.389821656396464
1974,-71.5,35.66667,14.1,37.389821656396464
1974,-71.5,35.66667,14.69,37.389821656396464
1974,-71.5,35.66667,15.45,37.389821656396464
1974,-71.5,35.66667,18.57,37.389821656396464
1974,-71.5,35.66667,20.93,37.389821656396464
1974,-71.5,35.66667,21.59,37.389821656396464
1974,-71.5,35.66667,25.9,37.389821656396464
1974,-71.5,35.66667,30.5,37.389821656396464
1974,-71.5,35.66667,35.41,37.389821656396464
1974,-71.5,35.66667,42.09,37.389821656396464
1974,-71.5,35.66667,42.38,37.389821656396464
1974,-71.5,35.66667,47.0,37.389821656396464
1974,-71.5,35.66667,65.92,37.389821656396464
1974,-71.5,35.66667,88.48,37.389821656396464
1974,-71.5,35.66667,714.7,37.389821656396464
1974,-30.3,131.26667,3388.0,124.74412567258545
1974,-30.06667,128.96667,66.5,125.24172324750371
1974,-29.58333,128.91667,52.0,126.86505322282943
1974,-20.36667,130.11667,295.0,162.48380716523127
1974,-11.85,15.83333,483.0,182.3324088200344
1974,0.0,35.66667,0.28,254.9752721439464
1974,0.0,35.66667,0.53,254.9752721439464
1974,0.0,35.66667,0.56,254.9752721439464
1974,0.0,35.66667,0.7,254.9752721439464
1974,0.0,35.66667,0.73,254.9752721439464
1974,0.0,35.66667,0.96,254.9752721439464
1974,0.0,35.66667,1.14,254.9752721439464
1974,0.0,35.66667,1.19,254.9752721439464
1974,0.0,35.66667,1.46,254.9752721439464
1974,0.0,35.66667,1.5,254.9752721439464
1974,0.0,35.66667,2.42,254.9752721439464
1974,0.0,35.66667,3.2,254.9752721439464
1974,0.0,35.66667,3.97,254.9752721439464
1974,0.0,35.66667,5.26,254.9752721439464
1974,0.0,35.66667,5.57,254.9752721439464
